TABLE_NAME;DESCRIPTION;CODE;DEFINITION;OTHER
;;;;
;Agreement Role Code;;;
Agreement Role Code;Assignor;AS;The entitled party who is assigning the rights to a musical work within an agreement.;
Agreement Role Code;Acquirer;AC;The entitled party who is acquiring the rights to a musical work within an agreement.;
;;;;
;Agreement Type;;;
Agreement Type;Original Specific;OS;Agreement between the songwriter and original publisher covering a list of specific work(s);
Agreement Type;Subpublishing Specific;PS;Agreement between two publishers covering a list of specific work(s);
Agreement Type;Subpublishing General;PG;Agreement between two publishers covering all works in a catalogue;
Agreement Type;Original General;OG;Agreement between the songwriter and original publisher covering all works in a catalogue;
;;;;
;BIEM/CISAC Media Type;;See separate tab for details;
BIEM/CISAC Media Type;45 rpm 17 cm Single ;S;VINYL;
BIEM/CISAC Media Type;45 rpm 17 cm EP ;EP;VINYL;
BIEM/CISAC Media Type;45 rpm (12 inches) Maxi Single ;DS;VINYL;
BIEM/CISAC Media Type;Disco Single Remix (12 inches);RDS;VINYL;
BIEM/CISAC Media Type;Maxi Single Remix (7 inches);RMS;VINYL;
BIEM/CISAC Media Type;LP 33 rpm 17cm  EP;EPM;VINYL;
BIEM/CISAC Media Type;LP 33 rpm 25 cm ;MLP;VINYL;
BIEM/CISAC Media Type;LP 33 rpm 30 cm;LP;VINYL;
BIEM/CISAC Media Type;LP Compilation;LP2;VINYL;
BIEM/CISAC Media Type;LP identical to a CD;LP3;VINYL;
BIEM/CISAC Media Type;LP Compilation identical to a CD Compilation;LP4;VINYL;
BIEM/CISAC Media Type;CD Single 2 tracks;SCD;COMPACT DISC;
BIEM/CISAC Media Type;CD Singles 3&5 inches;CDS;COMPACT DISC;
BIEM/CISAC Media Type;CD Maxi-single;CDM;COMPACT DISC;
BIEM/CISAC Media Type;CD Maxi single remix;RCD;COMPACT DISC;
BIEM/CISAC Media Type;CD-LP (5 inches);CD;COMPACT DISC;
BIEM/CISAC Media Type;CD Compilation;CD2;COMPACT DISC;
updated by Anders Zetterlund (STIM);SACD;SA;COMPACT DISC;
BIEM/CISAC Media Type;SACD Compilation;SA2;COMPACT DISC;
BIEM/CISAC Media Type;CD Extra Single 2 tracks;CES;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Single;CXS;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Maxi Single;CXM;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Maxi Remix;RCE;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra EP;CEP;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra LP;CE;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Compilation;CE2;CD-EXTRA;
BIEM/CISAC Media Type;MC single;SMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC single identical to a CDS;SM2;MUSICASSETTE;
BIEM/CISAC Media Type;MC maxi;MMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC EP;EMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC Remix;RMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC;MCP;MUSICASSETTE;
BIEM/CISAC Media Type;MC LP;MC;MUSICASSETTE;
BIEM/CISAC Media Type;MC Compilation;MC2;MUSICASSETTE;
BIEM/CISAC Media Type;MC identical to a CD;MC3;MUSICASSETTE;
BIEM/CISAC Media Type;MC Compilation identical to a CD compilation;MC4;MUSICASSETTE;
BIEM/CISAC Media Type;Double MC;DMC;MUSICASSETTE;
BIEM/CISAC Media Type;MD Single/ Maxi Single;MDS;MINIDISC;
BIEM/CISAC Media Type;MD Maxi Remix;MDR;MINIDISC;
BIEM/CISAC Media Type;MD EP;MDP;MINIDISC;
BIEM/CISAC Media Type;MD;MD;MINIDISC;
BIEM/CISAC Media Type;MD Compilation;MD2;MINIDISC;
