Language Name,Code,Unnamed: 2,*ISO-639-2 standard - http://www.loc.gov/standards/iso639-2/php/code_list.php
Afar,aar,,
Abkhazian,abk,,
Achinese,ace,,
Acoli,ach,,
Adangme,ada,,
Adyghe; Adygei,ady,,
Afro-Asiatic languages,afa,,
Afrihili,afh,,
Afrikaans,afr,,
Ainu,ain,,
Akan,aka,,
Akkadian,akk,,
Albanian,alb* / sqi,,
Aleut,ale,,
Algonquian languages,alg,,
Southern Altai,alt,,
Amharic,amh,,
Old English (ca. 450–1100),ang,,
Angika,anp,,
Apache languages,apa,,
Arabic,ara,,
Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),arc,,
Aragonese,arg,,
Armenian,arm* / hye,,
Mapudungun; Mapuche,arn,,
Arapaho,arp,,
Artificial languages,art,,
Arawak,arw,,
Assamese,asm,,
Asturian; Bable; Leonese; Asturleonese,ast,,
Athapascan languages,ath,,
Australian languages,aus,,
Avaric,ava,,
Avestan,ave,,
Awadhi,awa,,
Aymara,aym,,
Azerbaijani,aze,,
Banda languages,bad,,
Bamileke languages,bai,,
Bashkir,bak,,
Baluchi,bal,,
Bambara,bam,,
Balinese,ban,,
Basque,baq* / eus,,
Basa,bas,,
Baltic languages,bat,,
Beja; Bedawiyet,bej,,
Belarusian,bel,,
Bemba,bem,,
Bengali,ben,,
Berber languages,ber,,
Bhojpuri,bho,,
Bihari languages,bih,,
Bikol,bik,,
Bini; Edo,bin,,
Bislama,bis,,
Siksika,bla,,
Bantu languages,bnt,,
Tibetan,bod / tib*,,
Bosnian,bos,,
Braj,bra,,
Breton,bre,,
Batak languages,btk,,
Buriat,bua,,
Buginese,bug,,
Bulgarian,bul,,
Burmese,bur* / mya,,
Bilin; Blin,byn,,
Caddo,cad,,
Central American Indian languages,cai,,
Galibi Carib,car,,
Catalan; Valencian,cat,,
Caucasian languages,cau,,
Cebuano,ceb,,
Celtic languages,cel,,
Czech,ces / cze*,,
Chamorro,cha,,
Chibcha,chb,,
Chechen,che,,
Chagatai,chg,,
Chinese,chi* / zho,,
Chuukese,chk,,
Mari,chm,,
Chinook jargon,chn,,
Choctaw,cho,,
