Msg Type;Msg Lvl;Msg Seq;Soc Cde;Error Level;"Error Message Text
";Order;Comments;
ACK;T;001;000;TR;More than one ACK found. Only one ACK is allowed per transaction;1;;
ACK;T;002;000;TR;In a CWR_ACK1 file, the ACK transaction was not followed by a WRK transaction;1;;
ACK;T;003;000;TR;In a CWR_ACK2 file, the ACK transaction was not followed by a WRK transaction;;;
ACK;T;004;000;GR;The Transaction Type of the preceding GRH must be ACK for submissions from a recipient;1;;
ACK;T;005;000;TR;In a CWR_ACK1 file, invalid sequence of transactions;;;
ACK;T;006;000;TR;In a CWR_ACK2 file, invalid sequence of transactions;;;
ACK;F;007;000;TR;The Creation Date/Creation Time did not match those fields on the HDR record of a file from the submitter;4;;
ACK;F;008;000;TR;The Original Group Number/Transaction Sequence # was not valid for the file referred to by Creation Date/Creation Time;4;;
ACK;F;009;000;TR;Original Transaction Type did not match the transaction referred to by Creation Date/Creation Time/Original Group #/Original Transaction Sequence #;4;;
ACK;F;010;000;TR;Creation Title did not match the one with the Submitter Creation #;4;;
ACK;F;011;000;TR;Submitter Creation # not found in the submitter's database;4;;
ACK;F;012;000;TR;The Recipient Creation # entered not found in the recipient's database;4;;
ACK;F;013;000;TR;Processing Date was not a valid date;4;;
ACK;F;014;000;TR;Transaction Status not found in the Transaction Status table;4;;
ACK;F;015;000;TR;This ACK in response to a WRK transaction was missing a Creation Title ;4;;
ACK;F;016;000;TR;Recipient Creation Number not a valid work number in the Receipient's system;;;
ACK;F;017;000;TR;In a CWR_ACK1 file, neither a permanent or temporary number  were provided in Receipient Creation Number or Receipient Temporary Creation Number;;;
ACK;F;018;000;TR;In a CWR_ACK2 file, no Receipient Creation Number was provided;;;
ALT;F;001;000;RR;Alternate Title was missing;4;;
ALT;F;002;000;FR;"Title Type was missing or not found in the Title Type table or was ""OT""";4;;
ALT;F;003;000;RR;Language Code entered was not found in the Language Code Table;4;;
ALT;F;004;000;RR;The Alternate Title contains invalid characters from the character set noted in the HDR record.;4;;
ALT;F;005;000;RR;The Alternate Title contains invalid characters from the character set noted in the HDR record.;4;;
ALT;F;006;000;RR ;The Title Type was equal to 'OL' or 'AL' but the Language code was not entered or invalid;4;;
ARI;R;001;000;RR ;Work # or note is not entered;;;
ARI;F;002;000;RR ;Society # not entered or not found in the Society code table;;;
ARI;F;003;000;RR ;"Type of right not entered or not valid or ""ALL""";;;
ARI;F;004;000;RR ;Subject code not entered and Note is blank or subject code not found in the Subject Code table;;;
ARI;T;005;035;TR ;Conditions in ARI for registration of Agreed Shares not met;1;GEMA only;
DRW;T;001;000;TR;More than one DRW header record in the transaction;;;
DRW;T;002;000;TR;Invalid sequence of records;;;
DRW;F;003;000;TR;Work title not entered;;;
DRW;F;004;000;FR;Language Code entered was not found in the Language Code Table;;;
DRW;F;005;000;TR;Submitter work number is not entered or not unique;;;
DRW;F;006;000;FR;ISWC entered is not valid;;;
DRW;F;007;000;TR;Retraction reason code is not entered or not in PP, NW or RQ;;;
EXC;T;001;000;TR;More than one EXC header record in the transaction;;;
EXC;T;002;000;TR;SPT missing for SPU record;;;
EXC;T;003;000;RR;Detail record type not found in the Transaction Type Table;;;
EXC;T;004;000;TR;Version Type 'MOD' entered but no SWR or OWR records contained a Writer Designation Code of 'AR', 'SA', 'AD', 'SR', or 'TR';;;
EXC;T;005;000;TR;Transaction did not contain at least one writer (SWR/OWR) record;;;
EXC;T;006;000;TR;There were no writers (Writer designation code = 'CA','A','C') entered for this work;;;
EXC;T;007;000;TR;A non-controlled publisher (OPU) was found in a chain started with an SPU;;;
EXC;T;008;000;TR;More than one original publisher (Publisher Type = 'E') was found in a publisher chain;;;
EXC;T;009;000;TR;SWT missing for SWR record;;;
EXC;T;010;000;TR;If Version Type is  'ORI', there can't be an  SWR or OWR with a Writer Designation Code of 'AR' (Arranger), 'AD' (Adapter), 'SR' (Sub-Arranger), “SA” (Sub-Author), or “TR” (Translator);;;
EXC;T;011;000;TR;Invalid sequence of records;;;
